REAPER,VST/VSTi INSTALLED EXTRACTOR
Version:,3.1 FERRETS
by:,Tormy Van Cool
Date:,2023-08-29 17:01:13

CHECK,N.,INSTR.,VST/VSTi/AU/CLAP NAME (Manufacturer),FILE (VSTs) - INST-NotINST (AUs) - CLAP (for Clap Plugins)
,1,,ReaCast (Cockos),reacast.dll
,2,,ReaComp (Cockos),reacomp.dll
,3,,ReaControlMIDI (Cockos),reacontrolmidi.dll
,4,,ReaDelay (Cockos),readelay.dll
,5,,ReaEQ (Cockos),reaeq.dll
,6,,ReaFir (FFT EQ+Dynamics Processor) (Cockos),reafir.dll
,7,,ReaGate (Cockos),reagate.dll
,8,,ReaInsert (Cockos),reainsert.dll
,9,,ReaLimit (Cockos),realimit.dll
,10,,ReaNINJAM (Cockos),reaninjam.dll
,11,,ReaPitch (Cockos),reapitch.dll
,12,Instr.,ReaSamplOmatic5000 (Cockos)!!!VSTi,reasamplomatic.dll
,13,,ReaStream (Cockos) (8ch),reastream.dll
,14,,ReaSurround (Cockos),reasurround.dll
,15,,ReaSurroundPan (Cockos),reasurround2.dll
,16,Instr.,ReaSynDr (Cockos) (4 out)!!!VSTi,reasyndr.dll
,17,Instr.,ReaSynth (Cockos)!!!VSTi,reasynth.dll
,18,,ReaTune (Cockos),reatune.dll
,19,,ReaVerb (Cockos),reaverb.dll
,20,,ReaVerbate (Cockos),reaverbate.dll
,21,,ReaVocode (Cockos),reavocode.dll
,22,,ReaVoice (Cockos),reavoice.dll
,23,,ReaXcomp (Cockos),reaxcomp.dll
,24,Instr.,Kontakt (Native Instruments GmbH) (64 out)!!!VSTi,Kontakt.dll
,25,Instr.,Superior Drummer 3 (Toontrack) (32 out)!!!VSTi,Superior_Drummer_3.dll
,26,,Crystallizer (SoundToys),Crystallizer.dll
,27,,Decapitator (SoundToys),Decapitator.dll
,28,,Devil-Loc Deluxe (SoundToys),DevilLocDeluxe.dll
,29,,EchoBoy (SoundToys),EchoBoy.dll
,30,,Little AlterBoy (SoundToys),LittleAlterBoy.dll
,31,,MicroShift (SoundToys),MicroShift.dll
,32,,PanMan (SoundToys),PanMan.dll
,33,,Radiator (SoundToys),Radiator.dll
,34,,Tremolator (SoundToys),Tremolator.dll
,35,,LX480 Complete (Relab Development),LX480Complete.dll
,36,Instr.,CFX Concert Grand (Garritan)!!!VSTi,CFX_Concert_Grand_VST_x64.dll
,37,,AIR Chorus (AIR Music Technology),AIRChorus_x64.dll
,38,,AIR Compressor (AIR Music Technology),AIRCompressor_x64.dll
,39,,AIR DiffuserDelay (AIR Music Technology),AIRDiffuserDelay_x64.dll
,40,,AIR Distortion (AIR Music Technology),AIRDistortion_x64.dll
,41,,AIR Dynamic Delay (AIR Music Technology),AIRDynamicDelay_x64.dll
,42,,AIR Enhancer (AIR Music Technology),AIREnhancer_x64.dll
,43,,AIR Ensemble (AIR Music Technology),AIREnsemble_x64.dll
,44,,AIR FilterGate (AIR Music Technology),AIRFilterGate_x64.dll
,45,,AIR Flanger (AIR Music Technology),AIRFlanger_x64.dll
,46,,AIR FrequencyShifter (AIR Music Technology),AIRFrequencyShifter_x64.dll
,47,,AIR Fuzz-Wah (AIR Music Technology),AIRFuzz_Wah_x64.dll
,48,,AIR KillEQ (AIR Music Technology),AIRKillEQ_x64.dll
,49,,AIR Lo-Fi (AIR Music Technology),AIRLo_Fi_x64.dll
,50,,AIR Maximizer (AIR Music Technology),AIRMaximizer_x64.dll
,51,,AIR Multi-Chorus (AIR Music Technology),AIRMulti_Chorus_x64.dll
,52,,AIR Multi-Delay (AIR Music Technology),AIRMulti_Delay_x64.dll
,53,,AIR Non-LinearReverb (AIR Music Technology),AIRNon_LinearReverb_x64.dll
,54,,AIR ParametricEQ (AIR Music Technology),AIRParametricEQ_x64.dll
,55,,AIR Phaser (AIR Music Technology),AIRPhaser_x64.dll
,56,,AIR Pumper (AIR Music Technology),AIRPumper_x64.dll
,57,,AIR Reverb (AIR Music Technology),AIRReverb_x64.dll
,58,,AIR SaturationFilter (AIR Music Technology),AIRSaturationFilter_x64.dll
,59,,AIR Spectral (AIR Music Technology),AIRSpectral_x64.dll
,60,,AIR SpringReverb (AIR Music Technology),AIRSpringReverb_x64.dll
,61,,AIR StereoWidth (AIR Music Technology),AIRStereoWidth_x64.dll
,62,,AIR Talkbox (AIR Music Technology),AIRTalkbox_x64.dll
,63,,AIR TubeDrive (AIR Music Technology),AIRTubeDrive_x64.dll
,64,,AIR VintageFilter (AIR Music Technology),AIRVintageFilter_x64.dll
,65,,Avalon VT-747SP (Kazrog),Avalon_VT_747SP.vst3
,66,,Hyperspace (JMGSound),Hyperspace.vst3
,67,,KirchhoffEQ (TBTECH),KirchhoffEQ_64_.vst3
,68,Instr.,Kontakt (Native Instruments) (64 out)!!!VSTi,Kontakt.vst3
,69,,ORANGE VOCODER SC (Zynaptiq),ORANGE_VOCODER_SC_VST3.vst3
,70,,ORANGE VOCODER (Zynaptiq),ORANGE_VOCODER_VST3.vst3
,71,,Youlean Loudness Meter 2 (Youlean) (10ch),Youlean_Loudness_Meter_2.vst3
,72,,Cassette (Wavesfactory),Cassette.vst3
,73,,Echo Cat (Wavesfactory),Echo_Cat.vst3
,74,,Quantum (Wavesfactory),Quantum.vst3
,75,,SnareBuzz (Wavesfactory),SnareBuzz.vst3
,76,,Spectre (Wavesfactory),Spectre.vst3
,77,,Trackspacer 2.5 (Wavesfactory),Trackspacer25.vst3
,78,,Dawn (Wave Alchemy),Dawn.vst3
,79,,Glow (Wave Alchemy),Glow.vst3
,80,,Pulse (Wave Alchemy),Pulse.vst3
,81,,Radiance (Wave Alchemy),Radiance.vst3
,82,,V-Clip (Venn Audio),V_Clip.vst3
,83,,Opal (UVI),Opal.vst3
,84,Instr.,Superior Drummer 3 (Toontrack) (32 out)!!!VSTi,Superior_Drummer_3.vst3
,85,,Kelvin (Tone Projects),Kelvin.vst3
,86,Instr.,TAL-Drum (TAL-Togu Audio Line) (4->32ch)!!!VSTi,TAL_Drum.vst3
,87,,T-De-Esser (Techivation),T_De_Esser.vst3
,88,,Revoice Pro Link (Synchro Arts Ltd),RevoiceProLinkVST_64bit_.vst3
,89,Instr.,Revoice Pro Monitor (Synchro Arts Ltd)!!!VSTi,RevoiceProMonitorVST_64bit_.vst3
,90,,entropyEQ+ (sonible),entropyEQ_x64.vst3
,91,,freiraum (sonible),freiraum_x64.vst3
,92,,proximityEQ+ (sonible),proximityEQ_x64.vst3
,93,,smartComp2 (sonible),smartcomp2.vst3
,94,,smartEQ3 (sonible),smartEQ3.vst3
,95,,smartEQlive (sonible),smartEQlive_x64.vst3
,96,,smartLimit (sonible),smartlimit.vst3
,97,,smartReverb (sonible),smartreverb_x64.vst3
,98,,trueLevel (sonible),truelevel.vst3
,99,,trueBalance (sonible),truebalance.vst3
,100,,pureVerb (sonible),pureverb.vst3
,101,,pureLimit (sonible),purelimit.vst3
,102,,pureComp (sonible),purecomp.vst3
,103,,Chandler Limited Curve Bender (Softube),Chandler_Limited_Curve_Bender.vst3
,104,,Chandler Limited Germanium Comp (Softube),Chandler_Limited_Germanium_Comp.vst3
,105,,Chandler Limited Zener Limiter (Softube),Chandler_Limited_Zener_Limiter.vst3
,106,,Chandler Limited Zener-Bender (Softube),Chandler_Limited_Zener_Bender.vst3
,107,,Drawmer 1973 (Softube),Drawmer_1973.vst3
,108,,Drawmer S73 (Softube),Drawmer_S73.vst3
,109,,Summit Audio TLA-100A (Softube),Summit_Audio_TLA_100A.vst3
,110,,Tube-Tech CL 1B mk II (Softube),Tube_Tech_CL_1B_mk_II.vst3
,111,,Tube-Tech Equalizers mk II (Softube),Tube_Tech_Equalizers_mk_II.vst3
,112,,Valley People Dyna-mite Gate (Softube),Valley_People_Dyna_mite_Gate.vst3
,113,,Valley People Dyna-mite Slam (Softube),Valley_People_Dyna_mite_Slam.vst3
,114,,Valley People Dyna-mite (Softube),Valley_People_Dyna_mite.vst3
,115,,Deelay (Sixth Sample),Deelay.vst3
,116,,RRS AQ550 (Red Rock Sound),RRS_AQ550_VST3_64.vst3
,117,,RRS AQ550b (Red Rock Sound),RRS_AQ550b_VST3_64.vst3
,118,,RRS AQ560 (Red Rock Sound),RRS_AQ560_VST3_64.vst3
,119,,RRS EQ3 (Red Rock Sound),RRS_EQ3_VST3_64.vst3
,120,Instr.,RRS Ivoks (Red Rock Sound)!!!VSTi,RRS_Ivoks_VST3_64.vst3
,121,,P11 Abyss (Pulsar Modular),P11_Abyss.vst3
,122,,P42 Climax (Pulsar Modular),P42_Climax.vst3
,123,,Pulsar 1178 (Pulsar),Pulsar_1178.vst3
,124,,Pulsar 8200 (Pulsar),Pulsar_8200.vst3
,125,,Pulsar Echorec (Pulsar),Pulsar_Echorec.vst3
,126,,Pulsar Massive (Pulsar),Pulsar_Massive.vst3
,127,,Pulsar Mu (Pulsar),Pulsar_Mu.vst3
,128,,Pulsar Smasher (Pulsar),Pulsar_Smasher.vst3
